YEAR DAY  HR    RAD_AU      HGI_LAT   HGI_LON
2023  17  13    0.9835    -4.756    40.835
2023  17  14    0.9835    -4.760    40.878
2023  17  15    0.9835    -4.764    40.920
2023  17  16    0.9835    -4.768    40.962
2023  17  17    0.9835    -4.772    41.005
2023  17  18    0.9836    -4.776    41.047
2023  17  19    0.9836    -4.780    41.090
2023  17  20    0.9836    -4.784    41.132
2023  17  21    0.9836    -4.788    41.174
2023  17  22    0.9836    -4.792    41.217
2023  17  23    0.9836    -4.796    41.259
2023  18   0    0.9836    -4.800    41.301
2023  18   1    0.9836    -4.804    41.344
2023  18   2    0.9836    -4.808    41.386
2023  18   3    0.9836    -4.812    41.429
2023  18   4    0.9836    -4.816    41.471
2023  18   5    0.9836    -4.820    41.514
2023  18   6    0.9836    -4.824    41.556
2023  18   7    0.9836    -4.828    41.598
2023  18   8    0.9836    -4.832    41.641
2023  18   9    0.9836    -4.836    41.683
2023  18  10    0.9836    -4.840    41.726
2023  18  11    0.9836    -4.844    41.768
2023  18  12    0.9836    -4.848    41.810
2023  18  13    0.9836    -4.852    41.853
2023  18  14    0.9836    -4.856    41.895
2023  18  15    0.9836    -4.860    41.938
2023  18  16    0.9836    -4.864    41.980
2023  18  17    0.9836    -4.868    42.022
2023  18  18    0.9836    -4.872    42.065
2023  18  19    0.9836    -4.876    42.107
2023  18  20    0.9836    -4.880    42.150
2023  18  21    0.9836    -4.884    42.192
2023  18  22    0.9836    -4.888    42.234
2023  18  23    0.9836    -4.892    42.277
2023  19   0    0.9837    -4.896    42.319
2023  19   1    0.9837    -4.900    42.362
2023  19   2    0.9837    -4.904    42.404
2023  19   3    0.9837    -4.907    42.446
2023  19   4    0.9837    -4.911    42.489
2023  19   5    0.9837    -4.915    42.531
2023  19   6    0.9837    -4.919    42.574
2023  19   7    0.9837    -4.923    42.616
2023  19   8    0.9837    -4.927    42.658
2023  19   9    0.9837    -4.931    42.701
2023  19  10    0.9837    -4.935    42.743
2023  19  11    0.9837    -4.939    42.786
2023  19  12    0.9837    -4.943    42.828
2023  19  13    0.9837    -4.947    42.871
2023  19  14    0.9837    -4.951    42.913
2023  19  15    0.9837    -4.955    42.955
2023  19  16    0.9837    -4.958    42.998
2023  19  17    0.9837    -4.962    43.040
2023  19  18    0.9837    -4.966    43.083
2023  19  19    0.9837    -4.970    43.125
2023  19  20    0.9837    -4.974    43.167
2023  19  21    0.9837    -4.978    43.210
2023  19  22    0.9837    -4.982    43.252
2023  19  23    0.9837    -4.986    43.295
2023  20   0    0.9837    -4.990    43.337
2023  20   1    0.9837    -4.994    43.380
2023  20   2    0.9837    -4.997    43.422
2023  20   3    0.9837    -5.001    43.464
2023  20   4    0.9838    -5.005    43.507
2023  20   5    0.9838    -5.009    43.549
2023  20   6    0.9838    -5.013    43.592
2023  20   7    0.9838    -5.017    43.634
2023  20   8    0.9838    -5.021    43.676
2023  20   9    0.9838    -5.024    43.719
2023  20  10    0.9838    -5.028    43.761
2023  20  11    0.9838    -5.032    43.804
2023  20  12    0.9838    -5.036    43.846
2023  20  13    0.9838    -5.040    43.889
2023  20  14    0.9838    -5.044    43.931
2023  20  15    0.9838    -5.048    43.973
2023  20  16    0.9838    -5.051    44.016
2023  20  17    0.9838    -5.055    44.058
2023  20  18    0.9838    -5.059    44.101
2023  20  19    0.9838    -5.063    44.143
2023  20  20    0.9838    -5.067    44.185
2023  20  21    0.9838    -5.071    44.228
2023  20  22    0.9838    -5.074    44.270
2023  20  23    0.9838    -5.078    44.313
2023  21   0    0.9838    -5.082    44.355
2023  21   1    0.9838    -5.086    44.398
2023  21   2    0.9838    -5.090    44.440
2023  21   3    0.9838    -5.094    44.482
2023  21   4    0.9838    -5.097    44.525
2023  21   5    0.9838    -5.101    44.567
2023  21   6    0.9838    -5.105    44.610
2023  21   7    0.9839    -5.109    44.652
2023  21   8    0.9839    -5.113    44.695
2023  21   9    0.9839    -5.116    44.737
2023  21  10    0.9839    -5.120    44.779
2023  21  11    0.9839    -5.124    44.822
2023  21  12    0.9839    -5.128    44.864
2023  21  13    0.9839    -5.131    44.907
2023  21  14    0.9839    -5.135    44.949
2023  21  15    0.9839    -5.139    44.992
2023  21  16    0.9839    -5.143    45.034
2023  21  17    0.9839    -5.147    45.076
2023  21  18    0.9839    -5.150    45.119
2023  21  19    0.9839    -5.154    45.161
2023  21  20    0.9839    -5.158    45.204
2023  21  21    0.9839    -5.162    45.246
2023  21  22    0.9839    -5.165    45.288
2023  21  23    0.9839    -5.169    45.331
2023  22   0    0.9839    -5.173    45.373
2023  22   1    0.9839    -5.177    45.416
2023  22   2    0.9839    -5.180    45.458
2023  22   3    0.9839    -5.184    45.501
2023  22   4    0.9839    -5.188    45.543
2023  22   5    0.9839    -5.192    45.585
2023  22   6    0.9839    -5.195    45.628
2023  22   7    0.9839    -5.199    45.670
2023  22   8    0.9839    -5.203    45.713
2023  22   9    0.9840    -5.207    45.755
2023  22  10    0.9840    -5.210    45.798
2023  22  11    0.9840    -5.214    45.840
2023  22  12    0.9840    -5.218    45.882
2023  22  13    0.9840    -5.221    45.925
2023  22  14    0.9840    -5.225    45.967
2023  22  15    0.9840    -5.229    46.010
2023  22  16    0.9840    -5.233    46.052
2023  22  17    0.9840    -5.236    46.095
2023  22  18    0.9840    -5.240    46.137
2023  22  19    0.9840    -5.244    46.179
2023  22  20    0.9840    -5.247    46.222
2023  22  21    0.9840    -5.251    46.264
2023  22  22    0.9840    -5.255    46.307
2023  22  23    0.9840    -5.258    46.349
2023  23   0    0.9840    -5.262    46.392
2023  23   1    0.9840    -5.266    46.434
2023  23   2    0.9840    -5.269    46.476
2023  23   3    0.9840    -5.273    46.519
2023  23   4    0.9840    -5.277    46.561
2023  23   5    0.9840    -5.280    46.604
2023  23   6    0.9840    -5.284    46.646
2023  23   7    0.9840    -5.288    46.689
2023  23   8    0.9840    -5.291    46.731
2023  23   9    0.9840    -5.295    46.773
2023  23  10    0.9841    -5.299    46.816
2023  23  11    0.9841    -5.302    46.858
2023  23  12    0.9841    -5.306    46.901
2023  23  13    0.9841    -5.310    46.943
2023  23  14    0.9841    -5.313    46.986
2023  23  15    0.9841    -5.317    47.028
2023  23  16    0.9841    -5.321    47.071
2023  23  17    0.9841    -5.324    47.113
2023  23  18    0.9841    -5.328    47.155
2023  23  19    0.9841    -5.332    47.198
2023  23  20    0.9841    -5.335    47.240
2023  23  21    0.9841    -5.339    47.283
2023  23  22    0.9841    -5.342    47.325
2023  23  23    0.9841    -5.346    47.368
2023  24   0    0.9841    -5.350    47.410
2023  24   1    0.9841    -5.353    47.452
2023  24   2    0.9841    -5.357    47.495
2023  24   3    0.9841    -5.360    47.537
2023  24   4    0.9841    -5.364    47.580
2023  24   5    0.9841    -5.368    47.622
2023  24   6    0.9841    -5.371    47.665
2023  24   7    0.9841    -5.375    47.707
2023  24   8    0.9841    -5.378    47.749
2023  24   9    0.9841    -5.382    47.792
2023  24  10    0.9842    -5.386    47.834
2023  24  11    0.9842    -5.389    47.877
2023  24  12    0.9842    -5.393    47.919
2023  24  13    0.9842    -5.396    47.962
2023  24  14    0.9842    -5.400    48.004
2023  24  15    0.9842    -5.403    48.046
2023  24  16    0.9842    -5.407    48.089
2023  24  17    0.9842    -5.411    48.131
2023  24  18    0.9842    -5.414    48.174
2023  24  19    0.9842    -5.418    48.216
2023  24  20    0.9842    -5.421    48.259
2023  24  21    0.9842    -5.425    48.301
